"PK_Mechanical_ID","CK_SiteID","System Type","Ventilation Grade","Ventilation Working","Ventilation Controls","Ventilation Use","Ventilation Use_notes","Ventilation Use Units","Notes"
"Mechanical_00002139","SITE_02035","Bathroom Vent","Panasonic or equivalent","Yes","Manual Switch",0.0000,,"Hours per day",
"Mechanical_00002142","SITE_02035","Bathroom Vent","Panasonic or equivalent","Yes","Manual Switch",0.0000,,"Hours per day",
"Mechanical_00002145","SITE_02036","Bathroom Vent","Builder Grade","Yes","Timer",0.0000,,"Hours per day",
"Mechanical_00002149","SITE_02037","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.0000,,"Hours per day",
"Mechanical_00002152","SITE_02038","Bathroom Vent","Builder Grade","Yes","Manual Switch",1.0000,,"Hours per day",
"Mechanical_00002158","SITE_00140","Bathroom Vent","Builder Grade","Yes","Timer",0.0000,,"Hours per day",
"Mechanical_00002159","SITE_01996","Bathroom Vent","Builder Grade","Yes","Timer",0.0000,,"Hours per day",
"Mechanical_00002162","SITE_01996","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.0000,,"Hours per day",
"Mechanical_00002164","SITE_00162","Bathroom Vent","Panasonic or equivalent","Yes","Manual Switch",1.0000,,"Hours per day",
"Mechanical_00002165","SITE_00162","Bathroom Vent","Panasonic or equivalent","Yes","Manual Switch",0.5000,,"Hours per day",
"Mechanical_00002169","SITE_01143","Bathroom Vent","Panasonic or equivalent","Yes","Timer",0.0000,,"Hours per day",
"Mechanical_00002171","SITE_02017","Bathroom Vent","Panasonic or equivalent","Yes","Manual Switch",1.0000,,"Hours per day",
"Mechanical_00002178","SITE_02002","Bathroom Vent","Builder Grade","Yes","Manual Switch",1.0000,,"Hours per day",
"Mechanical_00002186","SITE_01167","Bathroom Vent","Panasonic or equivalent","Yes","Manual Switch",0.2000,,"Hours per day",
"Mechanical_00002188","SITE_01196","Bathroom Vent","Panasonic or equivalent","Yes","Manual Switch",0.5000,,"Hours per day",
"Mechanical_00002194","SITE_01570","Bathroom Vent","Builder Grade","Yes","Timer",1.0000,,"Hours per day",
